servicio,anio,VABCOEL
Servicios al por mayor,2013,25.676
Servicios al por menor,2013,16.383
Otros servicios,2013,57.941
Servicios al por mayor,2014,28.664
Servicios al por menor,2014,20.376
Otros servicios,2014,50.96
Servicios al por mayor,2015,30.523
Servicios al por menor,2015,18.235
Otros servicios,2015,51.242
Servicios al por mayor,2016,29.025
Servicios al por menor,2016,21.276
Otros servicios,2016,49.699
Servicios al por mayor,2017,28.174
Servicios al por menor,2017,25.313
Otros servicios,2017,46.513
